prompt,response,formula,expected_prop_val,after_alignn_prop_val,gen_material_str,gen_material_cif,Alexandria,Alexandria_id,MC3D,MC3D_id,OQMD,OQMD_id,JARVIS,JARVIS_id,MaterialsProject,MaterialsProject_id,Match_Found,Matched_Formula
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeSi. The  mbj_bandgap value is 3.309.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeSi. The  mbj_bandgap value is 3.309.\n\n### Response:\n3.8 3.8 3.8\n60 60 60\nHe\n0.00 0.00 0.00\nSi\n0.75 0.75 0.75']",HeSi,3.309,,"3.8 3.8 3.8
60 60 60
He
0.00 0.00 0.00
Si
0.75 0.75 0.75","# generated using pymatgen
data_HeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.80000000
_cell_length_b   3.80000000
_cell_length_c   3.80000000
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeSi
_chemical_formula_sum   'He1 Si1'
_cell_volume   38.80036330
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.00000000  0.00000000  0.00000000  1
  Si  Si1  1  0.75000000  0.75000000  0.75000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeO. The  mbj_bandgap value is 3.909.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeO. The  mbj_bandgap value is 3.909.\n\n### Response:\n4.0 4.0 4.0\n120 120 88\nHe\n0.93 0.93 0.00\nHe\n0.07 0.07 0.00\nO\n0.83 0.33 0.50\nO\n0.17 0.67 0.50']",HeO,3.909,,"4.0 4.0 4.0
120 120 88
He
0.93 0.93 0.00
He
0.07 0.07 0.00
O
0.83 0.33 0.50
O
0.17 0.67 0.50","# generated using pymatgen
data_HeO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00000000
_cell_length_b   4.00000000
_cell_length_c   4.00000000
_cell_angle_alpha   120.00000000
_cell_angle_beta   120.00000000
_cell_angle_gamma   88.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeO
_chemical_formula_sum   'He2 O2'
_cell_volume   45.98353340
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.93000000  0.93000000  0.00000000  1
  He  He1  1  0.07000000  0.07000000  0.00000000  1
  O  O2  1  0.83000000  0.33000000  0.50000000  1
  O  O3  1  0.17000000  0.67000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeC. The  mbj_bandgap value is 2.628.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeC. The  mbj_bandgap value is 2.628.\n\n### Response:\n3.5 3.5 3.5\n109 109 109\nHe\n0.00 0.00 0.00\nC\n0.50 0.50 0.50']",HeC,2.628,,"3.5 3.5 3.5
109 109 109
He
0.00 0.00 0.00
C
0.50 0.50 0.50","# generated using pymatgen
data_HeC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.50000000
_cell_length_b   3.50000000
_cell_length_c   3.50000000
_cell_angle_alpha   109.00000000
_cell_angle_beta   109.00000000
_cell_angle_gamma   109.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeC
_chemical_formula_sum   'He1 C1'
_cell_volume   33.56866583
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.00000000  0.00000000  0.00000000  1
  C  C1  1  0.50000000  0.50000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeN. The  mbj_bandgap value is 3.995.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeN. The  mbj_bandgap value is 3.995.\n\n### Response:\n3.7 3.7 3.7\n126 126 78\nHe\n0.94 0.94 -0.00\nN\n0.37 0.37 -0.00']",HeN,3.995,,"3.7 3.7 3.7
126 126 78
He
0.94 0.94 -0.00
N
0.37 0.37 -0.00","# generated using pymatgen
data_HeN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70000000
_cell_length_b   3.70000000
_cell_length_c   3.70000000
_cell_angle_alpha   126.00000000
_cell_angle_beta   126.00000000
_cell_angle_gamma   78.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeN
_chemical_formula_sum   'He1 N1'
_cell_volume   32.41210896
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.94000000  0.94000000  -0.00000000  1
  N  N1  1  0.37000000  0.37000000  -0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeAl. The  mbj_bandgap value is 4.982.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeAl. The  mbj_bandgap value is 4.982.\n\n### Response:\n3.0 3.0 3.0\n90 90 90\nHe\n0.50 0.50 0.50\nAl\n0.00 0.00 0.00']",HeAl,4.982,,"3.0 3.0 3.0
90 90 90
He
0.50 0.50 0.50
Al
0.00 0.00 0.00","# generated using pymatgen
data_HeAl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.00000000
_cell_length_b   3.00000000
_cell_length_c   3.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeAl
_chemical_formula_sum   'He1 Al1'
_cell_volume   27.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.50000000  0.50000000  0.50000000  1
  Al  Al1  1  0.00000000  0.00000000  0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeGa. The  mbj_bandgap value is 4.605.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeGa. The  mbj_bandgap value is 4.605.\n\n### Response:\n4.4 4.4 4.6\n90 90 120\nHe\n0.33 0.67 0.50\nHe\n0.67 0.33 0.50\nGa\n0.00 0.00 0.00\nGa\n0.00 0.00 0.50']",HeGa,4.605,,"4.4 4.4 4.6
90 90 120
He
0.33 0.67 0.50
He
0.67 0.33 0.50
Ga
0.00 0.00 0.00
Ga
0.00 0.00 0.50","# generated using pymatgen
data_HeGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40000000
_cell_length_b   4.40000000
_cell_length_c   4.60000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeGa
_chemical_formula_sum   'He2 Ga2'
_cell_volume   77.12475836
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.33000000  0.67000000  0.50000000  1
  He  He1  1  0.67000000  0.33000000  0.50000000  1
  Ga  Ga2  1  0.00000000  0.00000000  0.00000000  1
  Ga  Ga3  1  0.00000000  0.00000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeTe. The  mbj_bandgap value is 3.842.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeTe. The  mbj_bandgap value is 3.842.\n\n### Response:\n4.4 4.4 4.4\n60 60 60\nHe\n0.00 0.00 0.00\nTe\n0.25 0.25 0.25']",HeTe,3.842,,"4.4 4.4 4.4
60 60 60
He
0.00 0.00 0.00
Te
0.25 0.25 0.25","# generated using pymatgen
data_HeTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40000000
_cell_length_b   4.40000000
_cell_length_c   4.40000000
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeTe
_chemical_formula_sum   'He1 Te1'
_cell_volume   60.23418405
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.00000000  0.00000000  0.00000000  1
  Te  Te1  1  0.25000000  0.25000000  0.25000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeGe. The  mbj_bandgap value is 2.901.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeGe. The  mbj_bandgap value is 2.901.\n\n### Response:\n4.1 4.1 8.7\n90 90 119\nHe\n0.33 0.67 0.33\nHe\n0.67 0.33 0.83\nHe\n0.67 0.33 0.67\nHe\n0.33 0.67 0.17\nGe\n0.33 0.67 0.62\nGe\n0.67 0.33 0.12\nGe\n0.00 0.00 0.38\nGe\n0.00 0.00 0.88']",HeGe,2.901,,"4.1 4.1 8.7
90 90 119
He
0.33 0.67 0.33
He
0.67 0.33 0.83
He
0.67 0.33 0.67
He
0.33 0.67 0.17
Ge
0.33 0.67 0.62
Ge
0.67 0.33 0.12
Ge
0.00 0.00 0.38
Ge
0.00 0.00 0.88","# generated using pymatgen
data_HeGe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10000000
_cell_length_b   4.10000000
_cell_length_c   8.70000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeGe
_chemical_formula_sum   'He4 Ge4'
_cell_volume   127.91050831
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.33000000  0.67000000  0.33000000  1
  He  He1  1  0.67000000  0.33000000  0.83000000  1
  He  He2  1  0.67000000  0.33000000  0.67000000  1
  He  He3  1  0.33000000  0.67000000  0.17000000  1
  Ge  Ge4  1  0.33000000  0.67000000  0.62000000  1
  Ge  Ge5  1  0.67000000  0.33000000  0.12000000  1
  Ge  Ge6  1  0.00000000  0.00000000  0.38000000  1
  Ge  Ge7  1  0.00000000  0.00000000  0.88000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeSe. The  mbj_bandgap value is 2.931.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeSe. The  mbj_bandgap value is 2.931.\n\n### Response:\n4.1 4.1 5.3\n90 90 90\nHe\n0.00 0.00 0.18\nHe\n0.50 0.50 0.82\nSe\n0.00 0.00 0.76\nSe\n0.50 0.50 0.24']",HeSe,2.931,,"4.1 4.1 5.3
90 90 90
He
0.00 0.00 0.18
He
0.50 0.50 0.82
Se
0.00 0.00 0.76
Se
0.50 0.50 0.24","# generated using pymatgen
data_HeSe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10000000
_cell_length_b   4.10000000
_cell_length_c   5.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeSe
_chemical_formula_sum   'He2 Se2'
_cell_volume   89.09300000
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.00000000  0.00000000  0.18000000  1
  He  He1  1  0.50000000  0.50000000  0.82000000  1
  Se  Se2  1  0.00000000  0.00000000  0.76000000  1
  Se  Se3  1  0.50000000  0.50000000  0.24000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is HeS. The  mbj_bandgap value is 2.96.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is HeS. The  mbj_bandgap value is 2.96.\n\n### Response:\n3.9 3.9 3.9\n120 120 89\nHe\n0.88 0.63 0.00\nS\n0.13 0.88 0.00']",HeS,2.96,,"3.9 3.9 3.9
120 120 89
He
0.88 0.63 0.00
S
0.13 0.88 0.00","# generated using pymatgen
data_HeS
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.90000000
_cell_length_b   3.90000000
_cell_length_c   3.90000000
_cell_angle_alpha   120.00000000
_cell_angle_beta   120.00000000
_cell_angle_gamma   89.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HeS
_chemical_formula_sum   'He1 S1'
_cell_volume   42.29663570
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  He  He0  1  0.88000000  0.63000000  0.00000000  1
  S  S1  1  0.13000000  0.88000000  0.00000000  1
",,,,,,,,,,,,
